p1.`gene.symbol`,p1.logFC,i.database,i.database_wnt,i.experimental,i.experimental_wnt,p2.`gene.symbol`,p2.logFC
FRAT1,null,null,0.9,null,0.0,FRAT2,null
FRAT1,null,null,0.9,null,0.702,GSK3B,null
FRAT2,null,null,0.9,null,0.559,GSK3B,null
FZD1,null,null,0.65,null,0.0,ROR2,0.617844
FZD1,null,null,0.9,null,0.0,GPC4,0.406086
FZD1,null,null,0.54,null,0.078,WNT2,0.506612
FZD1,null,null,0.65,null,0.0,ROR1,0.484788
FZD1,null,null,0.8,null,0.0,LRP6,0.299816
FZD1,null,null,0.5,null,0.078,WNT4,0.213563
FZD1,null,null,0.54,null,0.226,GSK3B,null
FZD1,null,null,0.8,null,0.0,LRP5,null
FZD1,null,null,0.9,null,0.0,RYK,null
FZD1,null,null,0.5,null,0.078,WNT1,null
FZD1,null,null,0.5,null,0.053,WNT10A,null
FZD1,null,null,0.5,null,0.053,WNT10B,null
FZD1,null,null,0.5,null,0.078,WNT11,null
FZD1,null,null,0.5,null,0.078,WNT16,null
FZD1,null,null,0.5,null,0.078,WNT2B,null
FZD1,null,null,0.54,null,0.078,WNT3,null
FZD1,null,null,0.5,null,0.319,WNT3A,null
FZD1,null,null,0.5,null,0.319,WNT5A,null
FZD1,null,null,0.5,null,0.078,WNT5B,null
FZD1,null,null,0.5,null,0.078,WNT6,null
FZD1,null,null,0.5,null,0.078,WNT7A,null
FZD1,null,null,0.5,null,0.078,WNT7B,null
FZD1,null,null,0.5,null,0.078,WNT8A,null
FZD1,null,null,0.5,null,0.078,WNT8B,null
FZD1,null,null,0.5,null,0.053,WNT9A,null
FZD1,null,null,0.5,null,0.053,WNT9B,null
FZD10,null,null,0.65,null,0.0,ROR2,0.617844
FZD10,null,null,0.9,null,0.0,GPC4,0.406086
FZD10,null,null,0.5,null,0.078,WNT2,0.506612
FZD10,null,null,0.65,null,0.0,ROR1,0.484788
FZD10,null,null,0.8,null,0.0,LRP6,0.299816
FZD10,null,null,0.5,null,0.078,WNT4,0.213563
FZD10,null,null,0.8,null,0.0,LRP5,null
FZD10,null,null,0.9,null,0.0,RYK,null
FZD10,null,null,0.5,null,0.078,WNT1,null
FZD10,null,null,0.5,null,0.053,WNT10A,null
FZD10,null,null,0.5,null,0.053,WNT10B,null
FZD10,null,null,0.5,null,0.078,WNT11,null
FZD10,null,null,0.5,null,0.078,WNT16,null
FZD10,null,null,0.5,null,0.078,WNT2B,null
FZD10,null,null,0.5,null,0.078,WNT3,null
FZD10,null,null,0.5,null,0.078,WNT3A,null
FZD10,null,null,0.5,null,0.078,WNT5A,null
FZD10,null,null,0.5,null,0.078,WNT6,null
FZD10,null,null,0.5,null,0.078,WNT7A,null
FZD10,null,null,0.5,null,0.078,WNT7B,null
FZD10,null,null,0.5,null,0.078,WNT8A,null
FZD10,null,null,0.5,null,0.078,WNT8B,null
FZD10,null,null,0.5,null,0.053,WNT9A,null
FZD10,null,null,0.5,null,0.053,WNT9B,null
FZD2,null,null,0.65,null,0.0,ROR2,0.617844
FZD2,null,null,0.9,null,0.0,GPC4,0.406086
FZD2,null,null,0.5,null,0.078,WNT2,0.506612
FZD2,null,null,0.65,null,0.0,ROR1,0.484788
FZD2,null,null,0.8,null,0.0,LRP6,0.299816
FZD2,null,null,0.5,null,0.078,WNT4,0.213563
FZD2,null,null,0.5,null,0.0,GSK3B,null
FZD2,null,null,0.8,null,0.0,LRP5,null
FZD2,null,null,0.9,null,0.0,RYK,null
FZD2,null,null,0.5,null,0.078,WNT1,null
FZD2,null,null,0.5,null,0.053,WNT10A,null
FZD2,null,null,0.5,null,0.053,WNT10B,null
FZD2,null,null,0.5,null,0.078,WNT11,null
FZD2,null,null,0.5,null,0.078,WNT16,null
FZD2,null,null,0.5,null,0.078,WNT2B,null
FZD2,null,null,0.5,null,0.078,WNT3,null
FZD2,null,null,0.5,null,0.532,WNT3A,null
FZD2,null,null,0.5,null,0.319,WNT5A,null
FZD2,null,null,0.5,null,0.078,WNT6,null
FZD2,null,null,0.5,null,0.078,WNT7A,null
FZD2,null,null,0.5,null,0.078,WNT7B,null
FZD2,null,null,0.5,null,0.078,WNT8A,null
FZD2,null,null,0.5,null,0.078,WNT8B,null
FZD2,null,null,0.5,null,0.053,WNT9A,null
FZD2,null,null,0.5,null,0.053,WNT9B,null
FZD3,null,null,0.65,null,0.0,ROR2,0.617844
FZD3,null,null,0.9,null,0.0,GPC4,0.406086
FZD3,null,null,0.5,null,0.078,WNT2,0.506612
FZD3,null,null,0.65,null,0.0,ROR1,0.484788
FZD3,null,null,0.8,null,0.0,LRP6,0.299816
FZD3,null,null,0.5,null,0.078,WNT4,0.213563
FZD3,null,null,0.8,null,0.0,LRP5,null
FZD3,null,null,0.9,null,0.0,RYK,null
FZD3,null,null,0.5,null,0.043,VANGL2,null
FZD3,null,null,0.5,null,0.078,WNT1,null
FZD3,null,null,0.5,null,0.053,WNT10A,null
FZD3,null,null,0.5,null,0.053,WNT10B,null
FZD3,null,null,0.5,null,0.078,WNT11,null
FZD3,null,null,0.5,null,0.078,WNT16,null
FZD3,null,null,0.5,null,0.078,WNT2B,null
FZD3,null,null,0.5,null,0.078,WNT3,null
FZD3,null,null,0.5,null,0.078,WNT3A,null
FZD3,null,null,0.5,null,0.078,WNT5A,null
FZD3,null,null,0.5,null,0.078,WNT5B,null
FZD3,null,null,0.5,null,0.078,WNT6,null
FZD3,null,null,0.5,null,0.078,WNT7A,null
FZD3,null,null,0.5,null,0.078,WNT7B,null
FZD3,null,null,0.5,null,0.078,WNT8A,null
FZD3,null,null,0.5,null,0.078,WNT8B,null
FZD3,null,null,0.5,null,0.053,WNT9A,null
FZD3,null,null,0.5,null,0.053,WNT9B,null
FZD4,null,null,0.65,null,0.0,ROR2,0.617844
FZD4,null,null,0.9,null,0.0,GPC4,0.406086
FZD4,null,null,0.5,null,0.078,WNT2,0.506612
FZD4,null,null,0.65,null,0.0,ROR1,0.484788
FZD4,null,null,0.8,null,0.0,LRP6,0.299816
FZD4,null,null,0.5,null,0.078,WNT4,0.213563
FZD4,null,null,0.8,null,0.0,LRP5,null
FZD4,null,null,0.5,null,0.0,RNF43,null
FZD4,null,null,0.9,null,0.0,RYK,null
FZD4,null,null,0.5,null,0.078,WNT1,null
FZD4,null,null,0.5,null,0.053,WNT10A,null
FZD4,null,null,0.5,null,0.053,WNT10B,null
FZD4,null,null,0.5,null,0.078,WNT11,null
FZD4,null,null,0.5,null,0.078,WNT16,null
FZD4,null,null,0.5,null,0.078,WNT2B,null
FZD4,null,null,0.5,null,0.078,WNT3,null
FZD4,null,null,0.5,null,0.078,WNT3A,null
FZD4,null,null,0.9,null,0.078,WNT5A,null
FZD4,null,null,0.5,null,0.078,WNT6,null
FZD4,null,null,0.5,null,0.078,WNT7A,null
FZD4,null,null,0.5,null,0.078,WNT7B,null
FZD4,null,null,0.5,null,0.078,WNT8A,null
FZD4,null,null,0.5,null,0.078,WNT8B,null
FZD4,null,null,0.5,null,0.053,WNT9A,null
FZD4,null,null,0.5,null,0.053,WNT9B,null
FZD4,null,null,0.5,null,0.292,ZNRF3,null
FZD5,null,null,0.65,null,0.0,ROR2,0.617844
FZD5,null,null,0.9,null,0.0,GPC4,0.406086
FZD5,null,null,0.5,null,0.078,WNT2,0.506612
FZD5,null,null,0.65,null,0.0,ROR1,0.484788
FZD5,null,null,0.8,null,0.292,LRP6,0.299816
FZD5,null,null,0.5,null,0.078,WNT4,0.213563
FZD5,null,null,0.5,null,0.082,GSK3B,null
FZD5,null,null,0.8,null,0.0,LRP5,null
FZD5,null,null,0.5,null,0.457,RNF43,null
FZD5,null,null,0.9,null,0.0,RYK,null
FZD5,null,null,0.5,null,0.078,WNT1,null
FZD5,null,null,0.5,null,0.053,WNT10A,null
FZD5,null,null,0.5,null,0.053,WNT10B,null
FZD5,null,null,0.5,null,0.078,WNT11,null
FZD5,null,null,0.5,null,0.078,WNT16,null
FZD5,null,null,0.5,null,0.078,WNT2B,null
FZD5,null,null,0.5,null,0.078,WNT3,null
FZD5,null,null,0.8,null,0.319,WNT3A,null
FZD5,null,null,0.5,null,0.431,WNT5A,null
FZD5,null,null,0.5,null,0.078,WNT6,null
FZD5,null,null,0.5,null,0.078,WNT7A,null
FZD5,null,null,0.5,null,0.078,WNT7B,null
FZD5,null,null,0.5,null,0.366,WNT8A,null
FZD5,null,null,0.5,null,0.078,WNT8B,null
FZD5,null,null,0.5,null,0.053,WNT9A,null
FZD5,null,null,0.5,null,0.053,WNT9B,null
FZD5,null,null,0.5,null,0.0,ZNRF3,null
FZD6,null,null,0.65,null,0.0,ROR2,0.617844
FZD6,null,null,0.9,null,0.0,GPC4,0.406086
FZD6,null,null,0.5,null,0.077,WNT2,0.506612
FZD6,null,null,0.65,null,0.0,ROR1,0.484788
FZD6,null,null,0.8,null,0.0,LRP6,0.299816
FZD6,null,null,0.5,null,0.077,WNT4,0.213563
FZD6,null,null,0.8,null,0.0,LRP5,null
FZD6,null,null,0.5,null,0.0,RNF43,null
FZD6,null,null,0.9,null,0.0,RYK,null
FZD6,null,null,0.5,null,0.077,WNT1,null
FZD6,null,null,0.5,null,0.053,WNT10A,null
FZD6,null,null,0.5,null,0.053,WNT10B,null
FZD6,null,null,0.5,null,0.077,WNT11,null
FZD6,null,null,0.5,null,0.077,WNT16,null
FZD6,null,null,0.5,null,0.077,WNT2B,null
FZD6,null,null,0.5,null,0.077,WNT3,null
FZD6,null,null,0.5,null,0.077,WNT3A,null
FZD6,null,null,0.5,null,0.077,WNT5A,null
FZD6,null,null,0.5,null,0.077,WNT5B,null
FZD6,null,null,0.5,null,0.077,WNT6,null
FZD6,null,null,0.5,null,0.077,WNT7A,null
FZD6,null,null,0.5,null,0.077,WNT7B,null
FZD6,null,null,0.5,null,0.077,WNT8A,null
FZD6,null,null,0.5,null,0.077,WNT8B,null
FZD6,null,null,0.5,null,0.053,WNT9A,null
FZD6,null,null,0.5,null,0.053,WNT9B,null
FZD6,null,null,0.5,null,0.292,ZNRF3,null
FZD7,null,null,0.65,null,0.0,ROR2,0.617844
FZD7,null,null,0.9,null,0.0,GPC4,0.406086
FZD7,null,null,0.5,null,0.078,WNT2,0.506612
FZD7,null,null,0.65,null,0.0,ROR1,0.484788
FZD7,null,null,0.8,null,0.0,LRP6,0.299816
FZD7,null,null,0.5,null,0.078,WNT4,0.213563
FZD7,null,null,0.8,null,0.0,LRP5,null
FZD7,null,null,0.9,null,0.0,RYK,null
FZD7,null,null,0.5,null,0.078,WNT1,null
FZD7,null,null,0.5,null,0.053,WNT10A,null
FZD7,null,null,0.5,null,0.053,WNT10B,null
FZD7,null,null,0.5,null,0.078,WNT11,null
FZD7,null,null,0.5,null,0.078,WNT16,null
FZD7,null,null,0.5,null,0.078,WNT2B,null
FZD7,null,null,0.5,null,0.477,WNT3,null
FZD7,null,null,0.5,null,0.078,WNT3A,null
FZD7,null,null,0.9,null,0.078,WNT5A,null
FZD7,null,null,0.5,null,0.078,WNT5B,null
FZD7,null,null,0.5,null,0.078,WNT6,null
FZD7,null,null,0.5,null,0.078,WNT7A,null
FZD7,null,null,0.5,null,0.078,WNT7B,null
FZD7,null,null,0.5,null,0.078,WNT8A,null
FZD7,null,null,0.5,null,0.078,WNT8B,null
FZD7,null,null,0.5,null,0.053,WNT9A,null
FZD7,null,null,0.5,null,0.053,WNT9B,null
FZD9,null,null,0.65,null,0.0,ROR2,0.617844
FZD9,null,null,0.9,null,0.0,GPC4,0.406086
FZD9,null,null,0.5,null,0.078,WNT2,0.506612
FZD9,null,null,0.65,null,0.0,ROR1,0.484788
FZD9,null,null,0.8,null,0.0,LRP6,0.299816
FZD9,null,null,0.5,null,0.078,WNT4,0.213563
FZD9,null,null,0.8,null,0.0,LRP5,null
FZD9,null,null,0.9,null,0.0,RYK,null
FZD9,null,null,0.5,null,0.078,WNT1,null
FZD9,null,null,0.5,null,0.053,WNT10A,null
FZD9,null,null,0.5,null,0.053,WNT10B,null
FZD9,null,null,0.5,null,0.078,WNT11,null
FZD9,null,null,0.5,null,0.078,WNT16,null
FZD9,null,null,0.5,null,0.078,WNT2B,null
FZD9,null,null,0.5,null,0.078,WNT3,null
FZD9,null,null,0.5,null,0.078,WNT3A,null
FZD9,null,null,0.5,null,0.078,WNT5A,null
FZD9,null,null,0.5,null,0.078,WNT6,null
FZD9,null,null,0.5,null,0.078,WNT7A,null
FZD9,null,null,0.5,null,0.078,WNT7B,null
FZD9,null,null,0.5,null,0.078,WNT8A,null
FZD9,null,null,0.5,null,0.078,WNT8B,null
FZD9,null,null,0.5,null,0.053,WNT9A,null
FZD9,null,null,0.5,null,0.053,WNT9B,null
GSK3B,null,null,0.0,null,0.556,PPP3CC,0.251189
GSK3B,null,null,0.9,null,0.0,SIAH1,0.207217
GSK3B,null,null,0.0,null,0.457,SMAD3,0.236565
GSK3B,null,null,0.54,null,0.0,WNT2,0.506612
GSK3B,null,null,0.72,null,0.457,LRP6,0.299816
GSK3B,null,null,0.0,null,0.55,JUN,null
GSK3B,null,null,0.72,null,0.0,LRP5,null
GSK3B,null,null,0.0,null,0.457,MYC,null
GSK3B,null,null,0.9,null,0.457,PRKACA,null
GSK3B,null,null,0.9,null,0.166,PRKACB,null
GSK3B,null,null,0.9,null,0.0,PRKACG,null
GSK3B,null,null,0.0,null,0.457,PSEN1,null
GSK3B,null,null,0.5,null,0.0,RBX1,null
GSK3B,null,null,0.5,null,0.0,SKP1,null
GSK3B,null,null,0.0,null,0.457,TP53,null
GSK3B,null,null,0.5,null,0.0,WNT1,null
GSK3B,null,null,0.72,null,0.0,WNT3,null
GSK3B,null,null,0.5,null,0.0,WNT3A,null
GSK3B,null,null,0.5,null,0.0,WNT8A,null
GSK3B,null,null,0.5,null,0.0,WNT8B,null
JUN,null,null,0.0,null,0.457,SMAD3,0.236565
JUN,null,null,0.54,null,0.943,NFATC2,0.251236
JUN,null,null,0.9,null,0.511,MAPK8,null
JUN,null,null,0.9,null,0.511,MAPK9,null
JUN,null,null,0.0,null,0.457,MYC,null
JUN,null,null,0.5,null,0.324,TP53,null
LGR4,null,null,0.9,null,0.0,LGR5,0.89141
LGR4,null,null,0.9,null,0.0,LGR6,null
LGR4,null,null,0.5,null,0.0,RNF43,null
LGR4,null,null,0.5,null,0.946,RSPO1,null
LGR4,null,null,0.5,null,0.483,RSPO2,null
LGR4,null,null,0.5,null,0.483,RSPO3,null
LGR4,null,null,0.5,null,0.483,RSPO4,null
LGR4,null,null,0.5,null,0.457,ZNRF3,null
LGR6,null,null,0.5,null,0.0,RNF43,null
LGR6,null,null,0.5,null,0.0,RSPO1,null
LGR6,null,null,0.5,null,0.0,RSPO2,null
LGR6,null,null,0.5,null,0.0,RSPO3,null
LGR6,null,null,0.5,null,0.0,RSPO4,null
LGR6,null,null,0.5,null,0.0,ZNRF3,null
LRP5,null,null,0.54,null,0.0,WNT2,0.506612
LRP5,null,null,0.9,null,0.292,LRP6,0.299816
LRP5,null,null,0.5,null,0.0,RNF43,null
LRP5,null,null,0.7,null,0.457,SOST,null
LRP5,null,null,0.5,null,0.0,WNT1,null
LRP5,null,null,0.72,null,0.0,WNT3,null
LRP5,null,null,0.72,null,0.0,WNT3A,null
LRP5,null,null,0.5,null,0.0,WNT8A,null
LRP5,null,null,0.5,null,0.0,WNT8B,null
LRP5,null,null,0.5,null,0.0,ZNRF3,null
MAP3K7,null,null,0.0,null,0.457,MAPK8,null
MAP3K7,null,null,0.0,null,0.548,NLK,null
MAP3K7,null,null,0.0,null,0.548,RUVBL1,null
MAPK8,null,null,0.0,null,0.657,RHOA,0.274713
MAPK8,null,null,0.9,null,0.734,MAPK9,null
MAPK8,null,null,0.0,null,0.923,NFATC3,null
MAPK8,null,null,0.0,null,0.457,TP53,null
MAPK9,null,null,0.0,null,0.488,NFATC2,0.251236
MAPK9,null,null,0.0,null,0.457,TP53,null
MYC,null,null,0.0,null,0.457,RUVBL1,null
MYC,null,null,0.0,null,0.886,SKP1,null
NFATC1,null,null,0.9,null,0.166,NFATC2,0.251236
NFATC1,null,null,0.9,null,0.0,NFATC3,null
NFATC1,null,null,0.5,null,0.952,PPP3CA,null
NFATC1,null,null,0.5,null,0.0,PPP3CB,null
NFATC1,null,null,0.5,null,0.944,PPP3R1,null
NFATC1,null,null,0.0,null,0.433,PPP3R2,null
NFATC3,null,null,0.9,null,0.0,NFATC4,null
NFATC3,null,null,0.5,null,0.0,PPP3CA,null
NFATC3,null,null,0.5,null,0.0,PPP3CB,null
NFATC3,null,null,0.5,null,0.0,PPP3R1,null
NFATC4,null,null,0.0,null,0.401,PPP3CA,null
NKD1,null,null,0.54,null,0.0,PPP3CC,0.251189
NKD1,null,null,0.9,null,0.0,NKD2,null
NKD1,null,null,0.72,null,0.0,PPP3CA,null
NKD1,null,null,0.72,null,0.0,PPP3CB,null
NKD1,null,null,0.72,null,0.0,PPP3R1,null
NKD1,null,null,0.54,null,0.0,PPP3R2,null
NOTUM,null,null,0.0,null,0.488,WNT7A,null
PLCB1,null,null,0.5,null,0.0,PLCB4,0.25188
PLCB1,null,null,0.5,null,0.0,PLCB2,null
PLCB1,null,null,0.5,null,0.0,PLCB3,null
PLCB2,null,null,0.5,null,0.0,PLCB4,0.25188
PLCB2,null,null,0.5,null,0.0,PLCB3,null
PLCB2,null,null,0.0,null,0.9,RAC3,null
PLCB3,null,null,0.5,null,0.0,PLCB4,0.25188
PPP3CA,null,null,0.9,null,0.0,PPP3CC,0.251189
PPP3CA,null,null,0.9,null,0.61,PPP3CB,null
PPP3CA,null,null,0.9,null,0.977,PPP3R1,null
PPP3CA,null,null,0.9,null,0.728,PPP3R2,null
PPP3CB,null,null,0.9,null,0.665,PPP3CC,0.251189
PPP3CB,null,null,0.9,null,0.774,PPP3R1,null
PPP3CB,null,null,0.9,null,0.713,PPP3R2,null
PPP3R1,null,null,0.9,null,0.074,PPP3R2,null
PRICKLE2,null,null,0.9,null,0.0,VANGL1,null
PRICKLE2,null,null,0.9,null,0.0,VANGL2,null
PRICKLE3,null,null,0.9,null,0.225,VANGL1,null
PRICKLE3,null,null,0.9,null,0.0,VANGL2,null
PRICKLE4,null,null,0.54,null,0.0,RAC3,null
PRICKLE4,null,null,0.9,null,0.0,VANGL1,null
PRICKLE4,null,null,0.9,null,0.0,VANGL2,null
PRKACA,null,null,0.9,null,0.655,PRKACB,null
PRKACA,null,null,0.9,null,0.669,PRKACG,null
PRKACA,null,null,0.9,null,0.0,PSEN1,null
PRKACB,null,null,0.9,null,0.614,PRKACG,null
PRKACB,null,null,0.9,null,0.0,PSEN1,null
PRKACG,null,null,0.9,null,0.0,PSEN1,null
PRKCA,null,null,0.9,null,0.596,PRKCB,null
PRKCA,null,null,0.9,null,0.603,PRKCG,null
PRKCB,null,null,0.9,null,0.452,PRKCG,null
RAC2,null,null,0.9,null,0.165,RHOA,0.274713
RAC2,null,null,0.9,null,0.661,RAC3,null
RAC2,null,null,0.5,null,0.125,VANGL1,null
RAC3,null,null,0.9,null,0.0,RHOA,0.274713
RAC3,null,null,0.5,null,0.125,VANGL1,null
RBX1,null,null,0.9,null,0.917,SKP1,null
RBX1,null,null,0.0,null,0.422,TP53,null
RNF43,null,null,0.0,null,0.457,TCF7L2,0.285741
RNF43,null,null,0.5,null,0.943,RSPO1,null
RNF43,null,null,0.5,null,0.301,RSPO2,null
RNF43,null,null,0.5,null,0.054,RSPO3,null
RNF43,null,null,0.5,null,0.054,RSPO4,null
RNF43,null,null,0.5,null,0.0,WNT3A,null
RSPO1,null,null,0.5,null,0.671,ZNRF3,null
RSPO2,null,null,0.5,null,0.946,ZNRF3,null
RSPO3,null,null,0.5,null,0.49,ZNRF3,null
RSPO4,null,null,0.5,null,0.054,ZNRF3,null
RUVBL1,null,null,0.9,null,0.0,TCF7L2,0.285741
RUVBL1,null,null,0.9,null,0.0,TCF7,0.585482
RUVBL1,null,null,0.9,null,0.0,TCF7L1,null
RYK,null,null,0.8,null,0.0,VANGL2,null
RYK,null,null,0.5,null,0.0,WNT1,null
RYK,null,null,0.5,null,0.0,WNT3,null
RYK,null,null,0.5,null,0.0,WNT3A,null
RYK,null,null,0.8,null,0.0,WNT5A,null
SFRP1,null,null,0.7,null,0.078,WNT3A,null
SFRP2,null,null,0.7,null,0.078,WNT3A,null
SKP1,null,null,0.9,null,0.292,TBL1X,null
SKP1,null,null,0.9,null,0.0,TBL1XR1,null
SKP1,null,null,0.9,null,0.0,TBL1Y,null
SKP1,null,null,0.0,null,0.42,TP53,null
SOX17,null,null,0.5,null,0.0,TCF7L2,0.285741
SOX17,null,null,0.5,null,0.0,TCF7,0.585482
SOX17,null,null,0.5,null,0.0,TCF7L1,null
TBL1X,null,null,0.9,null,0.457,TBL1XR1,null
TBL1X,null,null,0.9,null,0.338,TBL1Y,null
TBL1XR1,null,null,0.9,null,0.415,TBL1Y,null
TCF7L1,null,null,0.9,null,0.0,TCF7L2,0.285741
VANGL1,null,null,0.9,null,0.457,VANGL2,null
VANGL2,null,null,0.8,null,0.0,WNT5A,null
WIF1,null,null,0.5,null,0.0,WNT4,0.213563
WIF1,null,null,0.0,null,0.405,WNT11,null
WIF1,null,null,0.5,null,0.0,WNT3A,null
WIF1,null,null,0.5,null,0.405,WNT5A,null
WIF1,null,null,0.0,null,0.549,WNT7A,null
WIF1,null,null,0.5,null,0.0,WNT9A,null
WNT1,null,null,0.9,null,0.0,WNT4,0.213563
WNT11,null,null,0.0,null,0.639,WNT16,null
WNT16,null,null,0.0,null,0.45,WNT5A,null
WNT3,null,null,0.9,null,0.484,WNT3A,null
WNT3A,null,null,0.5,null,0.0,ZNRF3,null
WNT5A,null,null,0.9,null,0.586,WNT5B,null
WNT5A,null,null,0.0,null,0.443,WNT7A,null
