p1.`gene.symbol`,p1.logFC,i.database,i.database_wnt,i.experimental,i.experimental_wnt,p2.`gene.symbol`,p2.logFC
BCAN,0.228808,0.0,null,0.437,null,VCAN,0.418094
DRP2,0.204347,0.5,null,0.0,null,LAMB1,0.378212
IL5,0.192849,0.5,null,0.0,null,PTPN6,0.248021
IL5,0.192849,0.4,null,0.0,null,PIK3CA,0.271021
NES,0.210023,0.0,null,0.435,null,TCF4,0.333407
DSC1,0.252326,0.5,null,0.457,null,DSG1,0.730429
DSC1,0.252326,0.5,null,0.23,null,PKP3,0.363647
DSC1,0.252326,0.5,null,0.478,null,PKP1,0.356785
C8B,0.223435,0.5,null,0.0,null,VTN,0.272829
C8B,0.223435,0.9,null,0.8,null,C9,0.295589
JPH3,0.312382,0.54,null,0.0,null,TRDN,0.335509
GH2,0.189504,0.5,null,0.0,null,SOCS2,0.576723
GH2,0.189504,0.5,null,0.0,null,PTPN6,0.248021
GH2,0.189504,0.5,null,0.0,null,PRLR,0.188655
GH2,0.189504,0.9,null,0.0,null,LEP,0.244397
NID1,0.207559,0.0,null,0.463,null,NID2,0.41334
NID1,0.207559,0.54,null,0.0,null,VTN,0.272829
MEP1B,0.192822,0.9,null,0.0,null,MME,0.52413
CCL7,0.251754,0.65,null,0.0,null,CXCR6,0.508915
CCL7,0.251754,0.65,null,0.0,null,CCR6,0.376441
CCL7,0.251754,0.65,null,0.457,null,CCR1,0.25017
CLIC5,0.217023,0.5,null,0.0,null,EPS8,0.676577
CLIC5,0.217023,0.5,null,0.0,null,SPTBN1,0.526969
CLIC5,0.217023,0.8,null,0.292,null,EZR,0.222498
CLIC5,0.217023,0.5,null,0.0,null,MYO15A,0.230702
TEKT3,0.190797,0.0,null,0.414,null,TYSND1,0.198517
MYH4,0.239064,0.72,null,0.207,null,MYL9,0.222691
NEFM,0.234662,0.0,null,0.644,null,NES,0.210023
COL11A1,0.212918,0.72,null,0.0,null,COL3A1,0.258035
DNAJC6,0.200898,0.0,null,0.426,null,REPS1,0.381473
IGFBP1,0.181908,0.0,null,0.946,null,IGFBP4,0.180556
DLGAP1,0.185268,0.5,null,0.0,null,HOMER1,0.517587
DLGAP1,0.185268,0.5,null,0.0,null,NRXN3,0.702632
DLGAP1,0.185268,0.5,null,0.0,null,NLGN4X,0.660919
DLGAP1,0.185268,0.5,null,0.0,null,NLGN4Y,0.339729
DLGAP1,0.185268,0.5,null,0.0,null,GRM5,0.345324
