#node	identifier	node_degree
BAAT	9606.ENSP00000259407	0
BACH2	9606.ENSP00000257749	1
BANK1	9606.ENSP00000320509	0
BARX2	9606.ENSP00000281437	0
BBOF1	9606.ENSP00000377577	0
BBS1	9606.ENSP00000317469	1
BCAN	9606.ENSP00000331210	1
BCAT1	9606.ENSP00000443459	0
BCL11B	9606.ENSP00000349723	3
BCL9L	9606.ENSP00000335320	6
BCLAF1	9606.ENSP00000435210	2
BCO1	9606.ENSP00000258168	0
BDP1	9606.ENSP00000351575	2
BEND5	9606.ENSP00000360899	0
BEST2	9606.ENSP00000448310	0
BEST3	9606.ENSP00000332413	0
BHLHE22	9606.ENSP00000318799	0
BHMT	9606.ENSP00000274353	1
BHMT2	9606.ENSP00000255192	1
BICD1	9606.ENSP00000498700	2
BICDL1	9606.ENSP00000380690	1
BIK	9606.ENSP00000216115	0
BLK	9606.ENSP00000259089	0
BMF	9606.ENSP00000346697	0
BMP3	9606.ENSP00000282701	0
BPY2	9606.ENSP00000329106	0
BRD3OS	9606.ENSP00000490916	0
BRDT	9606.ENSP00000387822	0
BRI3	9606.ENSP00000297290	0
BRINP2	9606.ENSP00000354481	1
BRINP3	9606.ENSP00000356432	1
BRIX1	9606.ENSP00000338862	1
BRWD1	9606.ENSP00000330753	0
BSN	9606.ENSP00000296452	1
BTN2A1	9606.ENSP00000312158	0
BTN3A1	9606.ENSP00000289361	1
BTNL9	9606.ENSP00000330200	0
C11orf80	9606.ENSP00000354227	0
C12orf42	9606.ENSP00000367353	0
C14orf28	9606.ENSP00000326846	0
C15orf39	9606.ENSP00000353854	0
C15orf48	9606.ENSP00000341610	2
C17orf80	9606.ENSP00000351937	0
C1S	9606.ENSP00000385035	1
C1orf116	9606.ENSP00000352447	1
C1orf146	9606.ENSP00000359401	0
C1orf185	9606.ENSP00000360824	0
C1orf21	9606.ENSP00000235307	0
C1orf54	9606.ENSP00000358098	0
C20orf194	9606.ENSP00000252032	1
C22orf23	9606.ENSP00000384667	0
C22orf31	9606.ENSP00000216071	0
C2CD2	9606.ENSP00000369853	0
C3AR1	9606.ENSP00000302079	0
C3orf52	9606.ENSP00000399392	1
C4BPB	9606.ENSP00000243611	0
C8B	9606.ENSP00000360281	3
C9	9606.ENSP00000263408	3
C9orf85	9606.ENSP00000334289	0
CA10	9606.ENSP00000405388	0
